Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Built Pot (V) at Lt Cont,Cont Built Pot (V) at Rt Cont
6.1500e+00,6.9281e+00,4.1527e+00,3.9956e+04,3.9956e+04,-3.6749e-16,1.5532e+00
6.2000e+00,7.0472e+00,4.2240e+00,4.0360e+04,4.0361e+04,-3.6749e-16,1.5532e+00
6.2500e+00,7.1666e+00,4.2956e+00,4.0766e+04,4.0766e+04,-3.6749e-16,1.5532e+00
6.3000e+00,7.2863e+00,4.3674e+00,4.1172e+04,4.1172e+04,-3.6749e-16,1.5532e+00
6.3500e+00,7.4064e+00,4.4394e+00,4.1579e+04,4.1579e+04,-3.6749e-16,1.5532e+00
6.4000e+00,7.5267e+00,4.5115e+00,4.1987e+04,4.1987e+04,-3.6749e-16,1.5532e+00
6.4500e+00,7.6474e+00,4.5838e+00,4.2396e+04,4.2396e+04,-3.6749e-16,1.5532e+00
6.5000e+00,7.7684e+00,4.6564e+00,4.2805e+04,4.2805e+04,-3.6749e-16,1.5532e+00
6.5500e+00,7.8897e+00,4.7291e+00,4.3215e+04,4.3216e+04,-3.6749e-16,1.5532e+00
6.6000e+00,8.0114e+00,4.8020e+00,4.3627e+04,4.3627e+04,-3.6749e-16,1.5532e+00
6.6500e+00,8.1333e+00,4.8751e+00,4.4039e+04,4.4039e+04,-3.6749e-16,1.5532e+00
6.7000e+00,8.2556e+00,4.9484e+00,4.4452e+04,4.4452e+04,-3.6749e-16,1.5532e+00
6.7500e+00,8.3781e+00,5.0218e+00,4.4866e+04,4.4866e+04,-3.6749e-16,1.5532e+00
6.8000e+00,8.5010e+00,5.0955e+00,4.5280e+04,4.5280e+04,-3.6749e-16,1.5532e+00
6.8500e+00,8.6242e+00,5.1693e+00,4.5696e+04,4.5696e+04,-3.6749e-16,1.5532e+00
6.9000e+00,8.7477e+00,5.2433e+00,4.6112e+04,4.6113e+04,-3.6749e-16,1.5532e+00
6.9500e+00,8.8714e+00,5.3175e+00,4.6530e+04,4.6530e+04,-3.6749e-16,1.5532e+00
7.0000e+00,8.9955e+00,5.3919e+00,4.6948e+04,4.6948e+04,-3.6749e-16,1.5532e+00
