Grid Pos (microns),Ec (eV),Efn (eV),Ev (eV),Efp (eV)
2.3776e-01,-3.3816e+00,-5.5184e+00,-5.5496e+00,-5.5184e+00
2.3877e-01,-3.3817e+00,-5.5184e+00,-5.5497e+00,-5.5184e+00
2.3977e-01,-3.3819e+00,-5.5184e+00,-5.5499e+00,-5.5184e+00
2.4077e-01,-3.3822e+00,-5.5184e+00,-5.5502e+00,-5.5184e+00
2.4178e-01,-3.3828e+00,-5.5184e+00,-5.5508e+00,-5.5184e+00
2.4278e-01,-3.3839e+00,-5.5184e+00,-5.5519e+00,-5.5184e+00
2.4378e-01,-3.3857e+00,-5.5184e+00,-5.5537e+00,-5.5184e+00
2.4479e-01,-3.3890e+00,-5.5184e+00,-5.5570e+00,-5.5184e+00
2.4579e-01,-3.3945e+00,-5.5184e+00,-5.5625e+00,-5.5184e+00
2.4680e-01,-3.4037e+00,-5.5184e+00,-5.5717e+00,-5.5184e+00
2.4780e-01,-3.4181e+00,-5.5184e+00,-5.5861e+00,-5.5184e+00
2.4880e-01,-3.4322e+00,-5.5184e+00,-5.5723e+00,-5.5184e+00
2.4980e-01,-3.4497e+00,-5.5184e+00,-5.5633e+00,-5.5184e+00
2.5080e-01,-3.4690e+00,-5.5184e+00,-5.5576e+00,-5.5184e+00
2.5180e-01,-3.4890e+00,-5.5184e+00,-5.5538e+00,-5.5184e+00
2.5280e-01,-3.5088e+00,-5.5184e+00,-5.5513e+00,-5.5184e+00
2.5380e-01,-3.5278e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.5480e-01,-3.5458e+00,-5.5184e+00,-5.5477e+00,-5.5184e+00
2.5580e-01,-3.5680e+00,-5.5184e+00,-5.5460e+00,-5.5184e+00
2.5680e-01,-3.6525e+00,-5.5184e+00,-5.5440e+00,-5.5184e+00
2.5780e-01,-3.7363e+00,-5.5184e+00,-5.5411e+00,-5.5184e+00
2.5880e-01,-3.8186e+00,-5.5184e+00,-5.5368e+00,-5.5184e+00
2.5980e-01,-3.8982e+00,-5.5184e+00,-5.5298e+00,-5.5184e+00
2.6080e-01,-3.9726e+00,-5.5184e+00,-5.5175e+00,-5.5184e+00
2.6180e-01,-3.9835e+00,-5.5184e+00,-5.5285e+00,-5.5184e+00
2.6281e-01,-3.9894e+00,-5.5184e+00,-5.5344e+00,-5.5184e+00
2.6381e-01,-3.9927e+00,-5.5184e+00,-5.5377e+00,-5.5184e+00
2.6482e-01,-3.9947e+00,-5.5184e+00,-5.5396e+00,-5.5184e+00
2.6582e-01,-3.9958e+00,-5.5184e+00,-5.5408e+00,-5.5184e+00
2.6682e-01,-3.9965e+00,-5.5184e+00,-5.5414e+00,-5.5184e+00
2.6783e-01,-3.9968e+00,-5.5184e+00,-5.5418e+00,-5.5184e+00
2.6883e-01,-3.9971e+00,-5.5184e+00,-5.5420e+00,-5.5184e+00
2.6983e-01,-3.9972e+00,-5.5184e+00,-5.5422e+00,-5.5184e+00
2.7084e-01,-3.9973e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
2.7184e-01,-3.9974e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
2.7285e-01,-3.9974e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
2.7385e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.7485e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.7586e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.7686e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.7787e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.7887e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.7987e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.8088e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.8188e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
