Grid Pos (microns),U Total (1/cm3s),U Stim (1/cm3s)
3.1058e-01,-3.2123e+25,-3.2237e+25
3.1158e-01,-3.3233e+25,-3.3270e+25
3.1257e-01,-3.3736e+25,-3.3769e+25
3.1356e-01,-3.4018e+25,-3.4051e+25
3.1455e-01,-3.4077e+25,-3.4222e+25
3.1555e-01,-3.4249e+25,-3.4321e+25
3.1654e-01,-3.4214e+25,-3.4369e+25
3.1753e-01,-3.4329e+25,-3.4396e+25
3.1852e-01,-3.4466e+25,-3.4496e+25
3.1952e-01,-3.4969e+25,-3.4984e+25
3.2051e-01,-3.6932e+25,-3.6942e+25
3.2150e-01,-7.9108e+25,-7.9115e+25
3.2251e-01,-6.4195e+25,-6.4206e+25
3.2352e-01,-5.8942e+25,-5.8960e+25
3.2452e-01,-5.6506e+25,-5.6530e+25
3.2553e-01,-5.4841e+25,-5.4871e+25
3.2654e-01,-5.3368e+25,-5.3403e+25
3.2755e-01,-5.1926e+25,-5.1967e+25
3.2855e-01,-5.0473e+25,-5.0518e+25
3.2956e-01,-4.8998e+25,-4.9047e+25
3.3057e-01,-4.7500e+25,-4.7553e+25
3.3158e-01,-4.5981e+25,-4.6038e+25
3.3259e-01,-4.4445e+25,-4.4504e+25
3.3359e-01,-4.2894e+25,-4.2956e+25
3.3460e-01,-4.1331e+25,-4.1395e+25
3.3561e-01,-3.9759e+25,-3.9825e+25
3.3662e-01,-3.8181e+25,-3.8248e+25
3.3763e-01,-3.6601e+25,-3.6670e+25
3.3863e-01,-3.5022e+25,-3.5091e+25
3.3964e-01,-3.3446e+25,-3.3516e+25
3.4065e-01,-3.1877e+25,-3.1947e+25
3.4166e-01,-3.0319e+25,-3.0389e+25
3.4266e-01,-2.8773e+25,-2.8843e+25
3.4367e-01,-2.7244e+25,-2.7313e+25
3.4468e-01,-2.5733e+25,-2.5802e+25
3.4569e-01,-2.4245e+25,-2.4313e+25
3.4670e-01,-2.2783e+25,-2.2849e+25
3.4770e-01,-2.1348e+25,-2.1414e+25
3.4871e-01,-1.9945e+25,-2.0009e+25
3.4972e-01,-1.8575e+25,-1.8637e+25
3.5073e-01,-1.7242e+25,-1.7302e+25
3.5174e-01,-1.5947e+25,-1.6006e+25
3.5274e-01,-1.4695e+25,-1.4752e+25
3.5375e-01,-1.3487e+25,-1.3541e+25
3.5476e-01,-1.2325e+25,-1.2378e+25
3.5577e-01,-1.1213e+25,-1.1263e+25
3.5677e-01,-1.0152e+25,-1.0199e+25
3.5778e-01,-9.1437e+24,-9.1884e+24
3.5879e-01,-8.1910e+24,-8.2331e+24
3.5980e-01,-7.2956e+24,-7.3350e+24
3.6081e-01,-6.4591e+24,-6.4958e+24
3.6181e-01,-5.6834e+24,-5.7172e+24
3.6282e-01,-4.9698e+24,-5.0009e+24
3.6383e-01,-4.3200e+24,-4.3482e+24
3.6484e-01,-3.7351e+24,-3.7604e+24
3.6585e-01,-3.2164e+24,-3.2388e+24
3.6685e-01,-2.7650e+24,-2.7845e+24
3.6786e-01,-2.3824e+24,-2.3989e+24
3.6887e-01,-2.0704e+24,-2.0840e+24
3.6988e-01,-1.8335e+24,-1.8442e+24
3.7088e-01,-1.6850e+24,-1.6928e+24
3.7189e-01,-1.6685e+24,-1.6735e+24
3.7290e-01,-1.9332e+24,-1.9360e+24
3.7389e-01,-9.2308e+23,-9.2720e+23
3.7488e-01,-9.1594e+23,-9.2271e+23
3.7588e-01,-9.7393e+23,-9.8671e+23
3.7687e-01,-1.0686e+24,-1.0947e+24
3.7786e-01,-1.1837e+24,-1.2380e+24
3.7885e-01,-1.3852e+24,-1.4125e+24
3.7985e-01,-1.5652e+24,-1.6153e+24
3.8084e-01,-1.8334e+24,-1.8435e+24
3.8183e-01,-2.0826e+24,-2.0927e+24
3.8282e-01,-2.3398e+24,-2.3528e+24
3.8382e-01,-2.5105e+24,-2.5937e+24
