Grid Pos (microns),Ec (eV),Efn (eV),Ev (eV),Efp (eV)
2.0463e-01,-5.0905e+00,-7.2462e+00,-7.2585e+00,-7.2272e+00
2.0564e-01,-5.0904e+00,-7.2462e+00,-7.2584e+00,-7.2272e+00
2.0664e-01,-5.0903e+00,-7.2462e+00,-7.2583e+00,-7.2272e+00
2.0765e-01,-5.0903e+00,-7.2462e+00,-7.2583e+00,-7.2272e+00
2.0865e-01,-5.0903e+00,-7.2462e+00,-7.2583e+00,-7.2272e+00
2.0965e-01,-5.0902e+00,-7.2462e+00,-7.2582e+00,-7.2272e+00
2.1066e-01,-5.0902e+00,-7.2461e+00,-7.2582e+00,-7.2272e+00
2.1166e-01,-5.0902e+00,-7.2461e+00,-7.2582e+00,-7.2272e+00
2.1267e-01,-5.0902e+00,-7.2461e+00,-7.2582e+00,-7.2272e+00
2.1367e-01,-5.0902e+00,-7.2461e+00,-7.2582e+00,-7.2272e+00
2.1467e-01,-5.0902e+00,-7.2461e+00,-7.2582e+00,-7.2272e+00
2.1568e-01,-5.0902e+00,-7.2460e+00,-7.2582e+00,-7.2272e+00
2.1668e-01,-5.0902e+00,-7.2460e+00,-7.2582e+00,-7.2272e+00
2.1768e-01,-5.0902e+00,-7.2460e+00,-7.2582e+00,-7.2272e+00
2.1869e-01,-5.0902e+00,-7.2460e+00,-7.2582e+00,-7.2272e+00
2.1969e-01,-5.0902e+00,-7.2460e+00,-7.2582e+00,-7.2272e+00
2.2070e-01,-5.0902e+00,-7.2460e+00,-7.2582e+00,-7.2272e+00
2.2170e-01,-5.0902e+00,-7.2459e+00,-7.2582e+00,-7.2272e+00
2.2270e-01,-5.0902e+00,-7.2459e+00,-7.2582e+00,-7.2272e+00
2.2371e-01,-5.0902e+00,-7.2459e+00,-7.2582e+00,-7.2272e+00
2.2471e-01,-5.0902e+00,-7.2459e+00,-7.2582e+00,-7.2272e+00
2.2572e-01,-5.0902e+00,-7.2459e+00,-7.2582e+00,-7.2272e+00
2.2672e-01,-5.0902e+00,-7.2459e+00,-7.2582e+00,-7.2272e+00
2.2772e-01,-5.0902e+00,-7.2459e+00,-7.2582e+00,-7.2272e+00
2.2873e-01,-5.0902e+00,-7.2458e+00,-7.2582e+00,-7.2272e+00
2.2973e-01,-5.0902e+00,-7.2458e+00,-7.2582e+00,-7.2272e+00
2.3073e-01,-5.0902e+00,-7.2458e+00,-7.2582e+00,-7.2272e+00
2.3174e-01,-5.0902e+00,-7.2458e+00,-7.2582e+00,-7.2272e+00
2.3274e-01,-5.0902e+00,-7.2458e+00,-7.2582e+00,-7.2272e+00
2.3375e-01,-5.0902e+00,-7.2458e+00,-7.2582e+00,-7.2272e+00
2.3475e-01,-5.0902e+00,-7.2457e+00,-7.2582e+00,-7.2272e+00
2.3575e-01,-5.0902e+00,-7.2457e+00,-7.2582e+00,-7.2272e+00
