Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Pot (V) at Lt Cont,Cont Pot (V) at Rt Cont
1.0700e+00,4.1609e-11,1.6631e-11,1.0097e-02,1.0097e-02,1.0700e+00,0.0000e+00
1.0800e+00,6.1255e-11,2.4484e-11,1.2862e-02,1.2862e-02,1.0800e+00,0.0000e+00
1.0900e+00,9.0179e-11,3.6044e-11,1.6384e-02,1.6384e-02,1.0900e+00,0.0000e+00
1.1000e+00,1.3276e-10,5.3064e-11,2.0869e-02,2.0869e-02,1.1000e+00,0.0000e+00
1.1100e+00,1.9545e-10,7.8121e-11,2.6582e-02,2.6582e-02,1.1100e+00,0.0000e+00
1.1200e+00,2.8775e-10,1.1501e-10,3.3856e-02,3.3856e-02,1.1200e+00,0.0000e+00
1.1300e+00,4.2364e-10,1.6933e-10,4.3121e-02,4.3121e-02,1.1300e+00,0.0000e+00
1.1400e+00,6.2372e-10,2.4930e-10,5.4923e-02,5.4923e-02,1.1400e+00,0.0000e+00
1.1500e+00,9.1833e-10,3.6706e-10,6.9960e-02,6.9960e-02,1.1500e+00,0.0000e+00
1.1600e+00,1.3522e-09,5.4047e-10,8.9124e-02,8.9124e-02,1.1600e+00,0.0000e+00
1.1700e+00,1.9911e-09,7.9584e-10,1.1355e-01,1.1355e-01,1.1700e+00,0.0000e+00
1.1800e+00,2.9322e-09,1.1720e-09,1.4471e-01,1.4471e-01,1.1800e+00,0.0000e+00
1.1900e+00,4.3184e-09,1.7261e-09,1.8443e-01,1.8443e-01,1.1900e+00,0.0000e+00
1.2000e+00,6.3609e-09,2.5425e-09,2.3509e-01,2.3509e-01,1.2000e+00,0.0000e+00
1.2100e+00,9.3710e-09,3.7456e-09,2.9968e-01,2.9968e-01,1.2100e+00,0.0000e+00
1.2200e+00,1.3808e-08,5.5191e-09,3.8204e-01,3.8204e-01,1.2200e+00,0.0000e+00
1.2300e+00,2.0352e-08,8.1345e-09,4.8704e-01,4.8704e-01,1.2300e+00,0.0000e+00
1.2400e+00,3.0005e-08,1.1993e-08,6.2088e-01,6.2088e-01,1.2400e+00,0.0000e+00
1.2500e+00,4.4254e-08,1.7688e-08,7.9145e-01,7.9145e-01,1.2500e+00,0.0000e+00
1.2600e+00,6.5298e-08,2.6100e-08,1.0087e+00,1.0087e+00,1.2600e+00,0.0000e+00
1.2700e+00,9.6404e-08,3.8533e-08,1.2854e+00,1.2854e+00,1.2700e+00,0.0000e+00
1.2800e+00,1.4242e-07,5.6925e-08,1.6375e+00,1.6375e+00,1.2800e+00,0.0000e+00
1.2900e+00,2.1056e-07,8.4162e-08,2.0856e+00,2.0856e+00,1.2900e+00,0.0000e+00
1.3000e+00,3.1160e-07,1.2455e-07,2.6560e+00,2.6560e+00,1.3000e+00,0.0000e+00
1.3100e+00,4.6159e-07,1.8450e-07,3.3833e+00,3.3833e+00,1.3100e+00,0.0000e+00
1.3200e+00,6.8460e-07,2.7364e-07,4.3122e+00,4.3122e+00,1.3200e+00,0.0000e+00
1.3300e+00,1.0167e-06,4.0637e-07,5.5019e+00,5.5019e+00,1.3300e+00,0.0000e+00
1.3400e+00,1.5120e-06,6.0434e-07,7.0295e+00,7.0295e+00,1.3400e+00,0.0000e+00
1.3500e+00,2.2518e-06,9.0006e-07,8.9950e+00,8.9950e+00,1.3500e+00,0.0000e+00
1.3600e+00,3.3587e-06,1.3425e-06,1.1526e+01,1.1526e+01,1.3600e+00,0.0000e+00
